% AIRS Jan04 fast model fitting results over the 48 training
% profiles at 6 angles.  BT is the mean of the 288 (=48*6)
% BTobs spectra, RMS is the RMS of BTobs-BTcal, and amax is
% the maximum absolute value of BTobs-BTcal.
%
% Scott Hannon, 8 January 2004
%
% ID     freq      BT      RMS    amax
%----  --------  ------  ------  ------
  145   691.391  216.58  0.0169  0.0656
  146   691.664  219.17  0.0138  0.0530
  147   691.936  226.31  0.0170  0.0567
  148   692.209  223.73  0.0213  0.0788
  149   692.482  219.19  0.0174  0.0787
  150   692.755  217.50  0.0124  0.0604
  151   693.029  216.66  0.0185  0.0751
  152   693.302  219.09  0.0086  0.0323
  153   693.576  224.59  0.0110  0.0477
  154   693.851  222.14  0.0173  0.0595
  155   694.125  218.25  0.0330  0.2732
  156   694.400  217.17  0.0149  0.1008
  157   694.674  217.11  0.0131  0.0486
  158   694.949  219.46  0.0140  0.0675
  159   695.225  223.30  0.0141  0.0550
  160   695.500  220.90  0.0215  0.0906
  161   695.776  218.98  0.0224  0.0900
  162   696.052  218.12  0.0267  0.1519
  163   696.328  217.38  0.0124  0.0361
  164   696.604  219.97  0.0302  0.1095
  165   696.881  222.13  0.0149  0.0890
  166   697.158  220.04  0.0286  0.1200
  167   697.435  219.93  0.0255  0.1125
  168   697.712  219.19  0.0226  0.0944
  169   697.990  217.87  0.0207  0.0715
  170   698.267  220.13  0.0148  0.0556
  171   698.545  221.00  0.0184  0.0911
  172   698.823  219.48  0.0250  0.1182
  173   699.102  220.80  0.0293  0.1319
  174   699.381  220.21  0.0156  0.0763
  175   699.659  218.80  0.0103  0.0406
  176   699.939  220.31  0.0122  0.0631
  177   700.218  220.08  0.0133  0.0584
  178   700.497  219.61  0.0367  0.1614
  179   700.777  221.27  0.0462  0.1767
  180   701.057  221.02  0.0189  0.0826
  181   701.337  219.98  0.0186  0.0978
  182   701.618  220.40  0.0166  0.0956
  183   701.899  220.31  0.0371  0.1305
  184   702.180  221.09  0.0352  0.1348
  185   702.461  221.47  0.0278  0.1292
  186   702.742  221.83  0.0190  0.0980
  187   703.024  221.82  0.0271  0.1184
  188   703.306  221.68  0.0194  0.0926
  189   703.588  222.02  0.0330  0.2254
  190   703.870  224.02  0.0524  0.2437
  191   704.153  223.54  0.0891  0.2926
  192   704.436  224.56  0.0594  0.2370
  193   704.719  223.27  0.0434  0.2406
  194   705.002  221.44  0.0602  0.2019
  195   705.285  223.61  0.0502  0.3330
  196   705.569  225.08  0.0432  0.2177
  197   705.853  225.27  0.0366  0.2333
  198   706.137  227.59  0.0246  0.1718
