% RMS difference of BT_sarta - BT_kcarta for 206 daytime
% FOVs using ECMWF profiles.  This is an independent
% profile test of sarta; compare with the results
% using the regression profiles (regprof_rms.txt).
%
% ID      freq    RMS
%----  --------  -----
  282   730.177  0.058
  283   730.481  0.139
  284   730.785  0.067
  285   731.090  0.162
  286   731.395  0.023
  287   731.700  0.036
  288   732.005  0.030
  289   732.311  0.021
  290   732.617  0.038
  291   732.923  0.052
  292   733.229  0.041
  293   733.536  0.026
  294   733.843  0.031
  295   734.150  0.013
  296   734.458  0.041
  297   734.765  0.075
  298   735.073  0.026
  299   735.381  0.014
  300   735.690  0.034
  301   735.999  0.026
  302   736.308  0.033
  303   736.617  0.049
  304   736.926  0.024
  305   737.236  0.022
  306   737.546  0.032
  307   737.856  0.093
  308   738.167  0.036
  309   738.477  0.033
  310   738.788  0.046
  311   739.100  0.053
  312   739.411  0.052
  313   739.723  0.018
  314   740.035  0.033
  315   740.347  0.073
  316   740.660  0.108
  317   740.973  0.035
  318   741.286  0.042
  319   741.599  0.063
  320   741.913  0.235
  321   742.227  0.079
  322   742.541  0.088
  323   742.855  0.051
  324   743.170  0.020
  325   743.485  0.050
  326   743.800  0.023
  327   744.116  0.084
  328   744.431  0.035
  329   744.747  0.018
  330   745.064  0.092
  331   745.380  0.078
  332   745.697  0.023
  333   746.014  0.017
  334   746.331  0.012
  335   746.649  0.056
  336   746.967  0.062
  337   747.285  0.047
  338   747.603  0.015
  339   747.922  0.036
  340   748.241  0.066
  341   748.560  0.060
  342   748.879  0.032
  343   749.199  0.015
  344   749.519  0.028
  345   749.839  0.027
  346   750.160  0.047
  347   750.481  0.016
  348   750.802  0.045
  349   751.123  0.051
  350   751.445  0.054
  351   751.767  0.053
  352   752.089  0.027
  353   752.411  0.084
  354   752.734  0.052
  355   753.057  0.042
  356   753.380  0.019
  357   753.703  0.023
  358   754.027  0.112
  359   754.351  0.088
  360   754.676  0.040
  361   755.000  0.027
  362   755.325  0.024
  363   755.650  0.036
  364   755.976  0.100
  365   756.301  0.031
  366   756.627  0.026
  367   756.954  0.021
  368   757.280  0.117
  369   757.607  0.060
  370   757.934  0.018
  371   758.261  0.024
  372   758.589  0.086
  373   758.917  0.125
  374   759.245  0.054
  375   759.573  0.031
  376   759.902  0.022
  377   760.231  0.097
  378   760.561  0.117
  379   760.890  0.034
  380   761.220  0.031
  381   761.550  0.062
  382   761.880  0.120
  383   762.211  0.041
  384   762.542  0.037
  385   762.873  0.022
  386   763.205  0.059
  387   763.537  0.044
  388   763.869  0.041
  389   764.201  0.036
  390   764.534  0.026
  391   764.867  0.042
  392   765.200  0.028
  393   765.534  0.041
  394   765.867  0.026
  395   766.201  0.036
  396   766.536  0.031
  397   766.870  0.036
  398   767.205  0.022
  399   767.541  0.028
  400   767.876  0.041
  401   768.212  0.035
  402   768.548  0.034
  403   768.884  0.034
  404   769.221  0.035
  405   769.558  0.028
  406   769.895  0.028
  407   770.233  0.029
  408   770.570  0.027
  409   770.909  0.027
  410   771.247  0.027
  411   771.586  0.038
  412   771.925  0.038
  413   772.264  0.033
  414   772.603  0.029
  415   772.943  0.032
  416   773.283  0.039
  417   773.624  0.039
  418   773.964  0.031
  419   774.305  0.031
  420   774.647  0.040
  421   774.988  0.030
  422   775.330  0.025
  423   775.672  0.029
  424   776.015  0.024
  425   776.357  0.025
  426   776.700  0.019
  427   777.044  0.022
  428   777.387  0.018
  429   777.731  0.030
  430   778.076  0.037
  431   778.420  0.035
  432   778.765  0.027
  433   779.110  0.027
  434   779.455  0.026
  435   779.801  0.032
  436   780.147  0.033
  437   780.493  0.031
  438   780.840  0.038
  439   781.187  0.038
  440   781.534  0.038
  441   781.882  0.030
  442   789.263  0.036
  443   789.616  0.035
  444   789.971  0.034
  445   790.325  0.034
  446   790.680  0.034
  447   791.035  0.019
  448   791.390  0.093
  449   791.745  0.101
  450   792.101  0.058
  451   792.457  0.025
  452   792.814  0.027
  453   793.171  0.027
  454   793.528  0.018
  455   793.885  0.032
  456   794.243  0.023
  457   794.601  0.023
  458   794.959  0.025
  459   795.318  0.018
  460   795.677  0.014
  461   796.036  0.012
  462   796.396  0.015
  463   796.756  0.023
  464   797.116  0.020
  465   797.477  0.026
  466   797.837  0.025
  467   798.199  0.010
  468   798.560  0.021
  469   798.922  0.025
  470   799.284  0.022
  471   799.646  0.023
  472   800.009  0.026
  473   800.372  0.026
  474   800.735  0.029
  475   801.099  0.027
  476   801.463  0.024
  477   801.827  0.025
  478   802.192  0.028
  479   802.557  0.020
  480   802.922  0.030
  481   803.288  0.033
  482   803.654  0.029
  483   804.020  0.023
  484   804.386  0.026
  485   804.753  0.023
  486   805.120  0.025
  487   805.488  0.023
  488   805.856  0.017
  489   806.224  0.017
  490   806.592  0.021
  491   806.961  0.025
  492   807.330  0.023
  493   807.699  0.017
  494   808.069  0.030
  495   808.439  0.027
  496   808.809  0.025
  497   809.180  0.023
  498   809.551  0.022
  499   809.922  0.025
  500   810.294  0.027
  501   810.666  0.022
  502   811.038  0.021
  503   811.411  0.024
  504   811.784  0.025
  505   812.157  0.022
  506   812.531  0.021
  507   812.905  0.023
  508   813.279  0.021
  509   813.654  0.020
  510   814.029  0.023
  511   814.404  0.029
  512   814.779  0.029
  513   815.155  0.019
  514   815.532  0.023
  515   815.908  0.022
  516   816.285  0.023
  517   816.662  0.021
  518   817.040  0.021
  519   817.418  0.021
  520   817.796  0.022
