% RMS fitting errors for the 48 training profiles at 6 angles.
% September 2002 "m135f" AIRS-RTA
%
% These errors are the root mean square difference in the BT
% (brightness temperature) computed using the regression
% training data (convolved layer-to-space transmittances),
% and BT computed using the fast model.  For these calculations
% we used surface emissivity=unity and reflectivity=zero.
%
%  ID    freq     RMS
%----  --------  -----
  276   728.357  0.053
  277   728.660  0.054
  278   728.963  0.095
  279   729.266  0.081
  280   729.569  0.066
  281   729.873  0.096
  282   730.177  0.123
  283   730.481  0.178
  284   730.785  0.094
  285   731.090  0.084
  286   731.395  0.070
  287   731.700  0.059
  288   732.005  0.046
  289   732.311  0.025
  290   732.617  0.023
  291   732.923  0.069
  292   733.229  0.060
  293   733.536  0.029
  294   733.843  0.029
  295   734.150  0.026
  296   734.458  0.092
  297   734.765  0.054
  298   735.073  0.026
  299   735.381  0.049
  300   735.690  0.021
  301   735.999  0.069
  302   736.308  0.062
  303   736.617  0.047
  304   736.926  0.023
  305   737.236  0.023
  306   737.546  0.059
  307   737.856  0.092
  308   738.167  0.031
  309   738.477  0.023
  310   738.788  0.025
  311   739.100  0.070
  312   739.411  0.104
  313   739.723  0.040
  314   740.035  0.032
  315   740.347  0.073
  316   740.660  0.086
  317   740.973  0.054
  318   741.286  0.121
  319   741.599  0.279
  320   741.913  0.196
  321   742.227  0.079
  322   742.541  0.067
  323   742.855  0.037
  324   743.170  0.018
  325   743.485  0.058
  326   743.800  0.118
  327   744.116  0.120
  328   744.431  0.046
  329   744.747  0.038
  330   745.064  0.084
  331   745.380  0.069
  332   745.697  0.086
  333   746.014  0.026
  334   746.331  0.015
  335   746.649  0.066
  336   746.967  0.069
  337   747.285  0.091
  338   747.603  0.029
  339   747.922  0.036
  340   748.241  0.075
  341   748.560  0.068
  342   748.879  0.054
  343   749.199  0.017
  344   749.519  0.042
  345   749.839  0.089
  346   750.160  0.079
  347   750.481  0.020
  348   750.802  0.038
  349   751.123  0.077
  350   751.445  0.071
  351   751.767  0.068
  352   752.089  0.042
  353   752.411  0.058
  354   752.734  0.082
  355   753.057  0.062
  356   753.380  0.036
  357   753.703  0.056
  358   754.027  0.081
  359   754.351  0.074
  360   754.676  0.091
  361   755.000  0.049
  362   755.325  0.016
  363   755.650  0.073
  364   755.976  0.081
  365   756.301  0.033
  366   756.627  0.019
  367   756.954  0.039
  368   757.280  0.086
  369   757.607  0.065
  370   757.934  0.039
  371   758.261  0.010
  372   758.589  0.059
  373   758.917  0.076
  374   759.245  0.034
  375   759.573  0.007
  376   759.902  0.023
  377   760.231  0.083
  378   760.561  0.068
  379   760.890  0.014
  380   761.220  0.013
  381   761.550  0.051
  382   761.880  0.080
  383   762.211  0.029
  384   762.542  0.007
  385   762.873  0.027
  386   763.205  0.067
  387   763.537  0.051
  388   763.869  0.008
  389   764.201  0.007
  390   764.534  0.043
  391   764.867  0.058
  392   765.200  0.017
  393   765.534  0.006
  394   765.867  0.016
  395   766.201  0.028
  396   766.536  0.025
  397   766.870  0.015
  398   767.205  0.019
  399   767.541  0.023
  400   767.876  0.019
  401   768.212  0.014
  402   768.548  0.016
  403   768.884  0.022
  404   769.221  0.019
  405   769.558  0.015
  406   769.895  0.020
  407   770.233  0.022
  408   770.570  0.012
  409   770.909  0.013
  410   771.247  0.010
  411   771.586  0.007
  412   771.925  0.008
  413   772.264  0.010
  414   772.603  0.011
  415   772.943  0.008
  416   773.283  0.007
  417   773.624  0.006
  418   773.964  0.009
  419   774.305  0.009
  420   774.647  0.010
  421   774.988  0.011
  422   775.330  0.014
  423   775.672  0.019
  424   776.015  0.015
  425   776.357  0.013
  426   776.700  0.019
  427   777.044  0.022
  428   777.387  0.013
  429   777.731  0.009
  430   778.076  0.010
  431   778.420  0.009
  432   778.765  0.008
  433   779.110  0.017
  434   779.455  0.011
  435   779.801  0.006
  436   780.147  0.006
  437   780.493  0.007
  438   780.840  0.006
  439   781.187  0.004
  440   781.534  0.005
  441   781.882  0.008
  442   789.263  0.003
  443   789.616  0.004
  444   789.971  0.004
  445   790.325  0.003
  446   790.680  0.003
  447   791.035  0.018
  448   791.390  0.094
  449   791.745  0.075
  450   792.101  0.036
  451   792.457  0.017
  452   792.814  0.009
  453   793.171  0.008
  454   793.528  0.008
  455   793.885  0.016
  456   794.243  0.011
  457   794.601  0.008
  458   794.959  0.007
  459   795.318  0.010
  460   795.677  0.022
  461   796.036  0.019
  462   796.396  0.010
  463   796.756  0.007
  464   797.116  0.007
  465   797.477  0.011
  466   797.837  0.009
  467   798.199  0.026
  468   798.560  0.023
  469   798.922  0.019
  470   799.284  0.012
  471   799.646  0.007
  472   800.009  0.007
  473   800.372  0.005
  474   800.735  0.003
  475   801.099  0.004
  476   801.463  0.007
  477   801.827  0.007
  478   802.192  0.006
  479   802.557  0.008
  480   802.922  0.015
  481   803.288  0.019
  482   803.654  0.014
  483   804.020  0.008
  484   804.386  0.007
  485   804.753  0.008
  486   805.120  0.004
  487   805.488  0.005
  488   805.856  0.007
  489   806.224  0.009
  490   806.592  0.005
  491   806.961  0.004
  492   807.330  0.004
  493   807.699  0.007
  494   808.069  0.017
  495   808.439  0.009
  496   808.809  0.005
  497   809.180  0.005
  498   809.551  0.005
  499   809.922  0.002
  500   810.294  0.002
  501   810.666  0.004
  502   811.038  0.004
  503   811.411  0.002
  504   811.784  0.002
  505   812.157  0.003
  506   812.531  0.004
  507   812.905  0.003
  508   813.279  0.005
  509   813.654  0.009
  510   814.029  0.011
  511   814.404  0.013
  512   814.779  0.011
  513   815.155  0.007
  514   815.532  0.005
  515   815.908  0.004
  516   816.285  0.003
  517   816.662  0.003
  518   817.040  0.003
  519   817.418  0.003
  520   817.796  0.004
  521   818.174  0.004
  522   818.553  0.004
  523   818.933  0.005
  524   819.312  0.005
  525   819.692  0.005
  526   820.072  0.005
  527   820.453  0.005
  528   820.834  0.003
  529   821.215  0.004
  530   821.596  0.003
  531   821.978  0.004
  532   822.361  0.005
  533   822.743  0.005
  534   823.126  0.005
  535   823.509  0.005
  536   823.893  0.005
  537   824.277  0.005
  538   824.661  0.005
  539   825.046  0.007
  540   825.431  0.006
  541   825.816  0.004
  542   826.202  0.004
  543   826.587  0.005
  544   826.974  0.007
  545   827.360  0.008
  546   827.747  0.010
  547   828.135  0.006
  548   828.522  0.005
  549   828.910  0.004
  550   829.299  0.004
  551   829.687  0.004
  552   830.076  0.003
  553   830.466  0.004
  554   830.856  0.003
  555   831.246  0.003
  556   831.636  0.003
  557   832.027  0.003
  558   832.418  0.003
  559   832.809  0.003
  560   833.201  0.002
  561   833.593  0.002
  562   833.986  0.002
  563   834.379  0.002
  564   834.772  0.003
  565   835.166  0.004
  566   835.559  0.006
  567   835.954  0.004
  568   836.348  0.002
  569   836.743  0.002
  570   837.139  0.002
  571   837.534  0.002
  572   837.930  0.002
  573   838.327  0.002
  574   838.723  0.002
  575   839.120  0.003
  576   839.518  0.008
  577   839.916  0.012
  578   840.314  0.010
  579   840.712  0.006
  580   841.111  0.005
  581   841.510  0.006
  582   841.910  0.004
  583   842.310  0.003
  584   842.710  0.001
  585   843.111  0.001
  586   843.512  0.001
  587   843.913  0.001
  588   844.315  0.001
  589   844.717  0.001
  590   845.119  0.001
  591   845.522  0.003
  592   845.925  0.003
  593   846.329  0.001
  594   846.732  0.001
  595   847.137  0.001
  596   847.541  0.001
  597   847.946  0.001
  598   848.352  0.001
  599   848.757  0.002
  600   849.163  0.007
  601   849.570  0.011
  602   849.977  0.008
  603   850.384  0.003
  604   850.791  0.003
  605   851.199  0.004
  606   851.607  0.004
  607   852.016  0.009
  608   852.425  0.014
  609   851.490  0.004
  610   851.797  0.005
  611   852.104  0.010
  612   852.411  0.015
  613   852.718  0.017
  614   853.026  0.013
  615   853.334  0.009
  616   853.642  0.008
  617   853.950  0.008
  618   854.259  0.011
  619   854.568  0.017
  620   854.877  0.012
  621   855.186  0.007
  622   855.495  0.004
  623   855.805  0.003
  624   856.115  0.002
  625   856.426  0.002
  626   856.736  0.001
  627   857.047  0.001
  628   857.358  0.001
  629   857.669  0.001
  630   857.981  0.002
  631   858.292  0.005
  632   858.604  0.008
  633   858.917  0.003
  634   859.229  0.003
  635   859.542  0.004
  636   859.855  0.004
  637   860.168  0.002
  638   860.482  0.001
  639   860.795  0.001
  640   861.109  0.001
  641   861.424  0.001
  642   861.738  0.001
  643   862.053  0.001
  644   862.368  0.001
  645   862.683  0.001
  646   862.998  0.001
  647   863.314  0.001
  648   863.630  0.001
  649   863.946  0.001
  650   864.263  0.002
  651   864.579  0.005
  652   864.896  0.008
  653   865.214  0.011
  654   865.531  0.012
  655   865.849  0.007
  656   866.167  0.003
  657   866.485  0.001
  658   866.803  0.001
  659   867.122  0.001
  660   867.441  0.001
  661   867.760  0.001
  662   868.080  0.001
  663   868.399  0.001
  664   868.719  0.001
  665   869.040  0.001
  666   869.360  0.001
  667   869.681  0.001
  668   870.002  0.001
  669   870.323  0.001
  670   870.645  0.003
  671   870.966  0.009
  672   871.288  0.012
  673   871.611  0.008
  674   871.933  0.002
  675   872.256  0.001
  676   872.579  0.001
  677   872.902  0.001
  678   873.226  0.001
  679   873.550  0.001
  680   873.874  0.001
  681   874.198  0.001
  682   874.523  0.001
  683   874.847  0.001
  684   875.172  0.001
  685   875.498  0.001
  686   875.823  0.001
  687   876.149  0.001
  688   876.475  0.001
  689   876.802  0.001
  690   877.128  0.001
  691   877.455  0.001
  692   877.783  0.002
  693   878.110  0.007
  694   878.438  0.011
  695   878.766  0.009
  696   879.094  0.004
  697   879.422  0.002
  698   879.751  0.001
  699   880.080  0.001
  700   880.409  0.001
  701   880.739  0.006
  702   881.069  0.004
  703   881.399  0.003
  704   881.729  0.001
  705   882.060  0.001
  706   882.390  0.002
  707   882.721  0.004
  708   883.053  0.008
  709   883.384  0.009
  710   883.716  0.010
  711   884.049  0.009
  712   884.381  0.005
  713   884.714  0.002
  714   885.047  0.001
  715   885.380  0.001
  716   885.713  0.001
  717   886.047  0.001
  718   886.381  0.001
  719   886.715  0.009
  720   887.050  0.009
  721   887.385  0.009
  722   887.720  0.007
  723   888.055  0.003
  724   888.391  0.010
  725   888.727  0.011
  726   889.063  0.006
  727   889.399  0.002
  728   889.736  0.006
  729   890.073  0.007
  730   890.410  0.007
  731   890.748  0.002
  732   891.086  0.006
  733   891.424  0.007
  734   891.762  0.003
  735   892.101  0.001
  736   892.440  0.001
  737   892.779  0.001
  738   893.118  0.001
  739   893.458  0.001
  740   893.798  0.001
  741   894.138  0.001
  742   894.479  0.001
  743   894.820  0.001
  744   895.161  0.001
  745   895.502  0.001
  746   895.844  0.001
  747   896.185  0.003
  748   896.528  0.004
  749   896.870  0.002
  750   897.213  0.002
  751   897.556  0.008
  752   897.899  0.007
  753   898.243  0.002
  754   898.586  0.001
  755   898.931  0.001
  756   899.275  0.001
  757   899.620  0.001
  758   899.965  0.001
  759   900.310  0.001
  760   900.655  0.001
  761   901.001  0.001
  762   901.347  0.001
  763   901.694  0.001
  764   902.040  0.001
  765   902.387  0.002
  766   902.734  0.002
  767   903.082  0.001
  768   903.429  0.001
  769   903.778  0.001
  770   911.235  0.003
  771   911.590  0.002
  772   911.945  0.001
  773   912.301  0.001
  774   912.656  0.001
  775   913.012  0.001
  776   913.369  0.002
  777   913.725  0.007
  778   914.082  0.009
  779   914.439  0.006
  780   914.796  0.004
  781   915.154  0.002
  782   915.512  0.001
  783   915.870  0.001
  784   916.229  0.001
  785   916.588  0.001
  786   916.947  0.001
  787   917.306  0.001
  788   917.666  0.001
  789   918.026  0.004
  790   918.386  0.008
  791   918.747  0.006
  792   919.108  0.002
  793   919.469  0.001
  794   919.830  0.001
  795   920.192  0.001
  796   920.554  0.002
  797   920.917  0.005
  798   921.279  0.009
  799   921.642  0.011
  800   922.005  0.014
  801   922.369  0.013
  802   922.733  0.005
  803   923.097  0.003
  804   923.461  0.002
  805   923.826  0.001
  806   924.191  0.001
  807   924.556  0.007
  808   924.922  0.011
  809   925.288  0.010
  810   925.654  0.002
  811   926.021  0.001
  812   926.387  0.001
  813   926.754  0.002
  814   927.122  0.002
  815   927.490  0.001
  816   927.858  0.001
  817   928.226  0.002
  818   928.594  0.007
  819   928.963  0.007
  820   929.333  0.006
  821   929.702  0.001
  822   930.072  0.001
  823   930.442  0.001
  824   930.812  0.002
  825   931.183  0.002
